nrun  cer1  cer2  cer3  cer4  cer5  cer6  cer7  cer8  cer9  cer10
1239  0.68  0.50  0.18  0.86  0.29  1.54  0.38  0.72  0.12  0.21  
1240  0.64  0.53  0.19  0.60  0.37  1.52  0.35  0.74  0.11  0.24  
1241  0.71  0.50  -0.04  0.61  0.36  1.62  0.37  0.78  0.13  0.28  
1242  0.70  0.51  0.15  0.67  0.36  1.51  0.34  0.57  0.17  0.34  
1243  0.64  0.61  0.14  1.07  0.33  1.55  0.37  0.81  0.06  0.34  
1244  0.49  0.64  0.15  0.70  0.30  1.43  0.59  0.63  0.22  0.75  
1245  0.62  0.56  0.19  0.87  0.25  1.57  0.45  0.67  0.13  0.31  
1246  0.60  0.62  0.34  0.77  0.31  1.55  0.48  0.78  0.10  0.33  
1247  0.59  0.59  0.17  0.93  0.31  1.59  0.46  0.80  0.15  0.38  
1248  0.59  0.55  0.21  0.90  0.26  1.53  0.46  0.75  0.17  0.38  
1249  0.63  0.63  0.20  1.29  0.27  1.62  0.43  0.89  0.11  0.36  
1250  0.57  0.56  0.30  0.54  0.26  1.59  0.42  0.72  0.08  0.35  
1251  0.61  0.57  0.08  1.20  0.25  1.53  0.42  0.83  -0.04  0.37  
1257  0.64  1.01  0.34  0.68  0.81  0.78  0.48  0.53  0.16  0.25  
1258  0.65  0.81  0.31  0.48  0.42  1.27  0.51  0.89  0.17  0.39  
1260  0.60  0.62  0.41  0.71  0.34  1.40  0.59  0.65  0.03  0.37  
1261  0.67  0.64  0.36  0.67  0.25  1.33  0.50  0.89  0.20  0.33  
1262  0.61  0.65  0.31  0.92  0.39  1.46  0.51  0.80  0.20  0.35  
1263  0.60  0.63  0.36  1.03  0.33  1.36  0.52  0.80  0.13  0.38  
1264  0.56  0.72  0.48  0.74  0.33  1.40  0.54  0.73  0.21  0.39  
1265  0.65  0.65  0.42  0.74  0.39  1.36  0.56  0.74  0.13  0.46  
1266  0.64  0.61  0.47  0.75  0.33  1.44  0.48  0.98  0.23  0.44  
1267  0.66  0.60  0.25  0.59  0.38  1.34  0.46  0.89  0.13  0.46  
1268  0.62  0.70  0.31  1.08  0.28  1.42  0.45  0.85  0.16  0.48  
1271  0.57  0.65  0.35  0.51  0.44  1.34  0.44  0.65  -0.01  0.27  
1272  0.63  0.63  0.32  0.74  0.32  1.43  0.53  0.77  0.16  0.39  
1273  0.65  0.61  0.41  1.02  0.32  1.43  0.49  0.77  0.15  0.38  
1274  0.56  0.65  0.28  0.73  0.35  1.36  0.55  0.85  0.24  0.37  
1276  0.61  0.63  0.43  0.66  0.34  1.40  0.48  0.75  0.08  0.34  
1277  0.69  0.66  0.55  1.15  0.35  1.36  0.53  0.86  0.15  0.34  
1279  0.70  0.82  0.60  0.62  0.61  1.37  0.51  0.61  0.22  0.26  
1280  0.18  0.23  0.33  1.17  0.28  0.50  0.15  0.09  0.13  0.38  
1281  0.56  0.72  0.39  0.59  0.41  1.43  0.55  0.87  0.05  0.31  
1282  0.52  0.70  0.44  0.91  0.41  1.40  0.44  0.88  0.16  0.38  
1283  0.67  0.61  0.44  0.73  0.37  1.46  0.49  0.82  0.15  0.30  
1284  0.60  0.65  0.38  0.60  0.34  1.44  0.50  0.97  0.14  0.42  
1285  0.57  0.74  0.42  0.61  0.39  1.35  0.45  0.73  0.10  0.34  
1286  0.66  0.70  0.60  0.57  0.30  1.39  0.47  0.84  0.12  0.29  
1287  0.64  0.68  0.33  0.75  0.38  1.41  0.49  0.94  0.14  0.29  
1288  0.62  0.63  0.39  0.68  0.38  1.43  0.42  0.78  0.15  0.29  
1289  0.61  0.65  0.27  0.88  0.34  1.38  0.51  0.76  0.10  0.31  
1290  0.61  0.77  0.45  0.67  0.39  1.33  0.48  0.90  0.12  0.40  
1291  0.58  0.65  0.23  1.07  0.44  1.47  0.48  0.84  0.11  0.40  
1292  0.62  0.69  0.42  0.94  0.34  1.47  0.50  0.74  0.17  0.42  
1293  0.67  0.66  0.29  0.68  0.38  1.35  0.51  0.82  0.16  0.42  
1294  0.69  0.66  0.42  0.66  0.35  1.39  0.49  0.86  0.24  0.50  
1295  0.53  0.80  0.16  0.99  0.37  1.41  0.45  0.90  0.09  0.39  
1296  0.62  0.65  0.41  0.56  0.40  1.58  0.46  0.91  0.08  0.38  
1297  0.60  0.72  0.29  0.80  0.42  1.41  0.49  0.96  0.23  0.40  
1298  0.60  0.60  0.37  0.65  0.39  1.36  0.48  0.68  0.19  0.41  
1299  0.65  0.75  0.48  0.74  0.33  1.41  0.51  0.89  0.24  0.43  
1300  0.59  0.69  0.41  0.63  0.38  1.28  0.49  0.98  0.21  0.42  
1301  0.67  0.62  0.41  0.85  0.43  1.44  0.55  0.91  0.10  0.28  
1309  0.60  0.93  0.82  0.92  0.16  1.78  -0.27  0.84  -0.39  -0.41  
1312  0.33  0.32  0.04  3.29  0.31  1.75  0.47  0.34  -0.24  -0.37  
1313  0.60  0.08  -0.04  0.87  0.24  1.80  0.12  0.22  -0.08  0.25  
1318  0.94  0.43  1.07  0.53  0.51  1.73  -0.55  1.19  -0.64  -0.24  
1322  0.68  0.04  -0.01  0.62  0.02  1.55  0.04  0.16  -0.11  0.20  
1323  0.39  0.14  0.21  -0.67  0.24  1.61  0.23  0.08  0.06  0.18  
1325  0.30  0.09  0.34  0.54  0.02  1.42  -0.16  0.70  -0.16  0.25  
1326  0.65  0.16  0.17  -0.27  0.22  1.72  0.20  0.13  -0.08  0.11  
1327  0.51  0.17  -0.07  0.94  0.28  1.62  0.13  0.25  0.07  0.28  
1328  0.48  0.06  0.04  0.81  0.34  1.65  0.15  0.21  -0.05  0.32  
1329  0.54  0.06  0.04  0.12  0.30  1.66  0.15  0.30  -0.14  0.32  
1331  0.36  0.13  -0.00  0.47  0.29  1.73  0.19  0.26  -0.06  0.24  
1333  0.48  0.15  0.02  0.67  0.27  1.80  0.22  0.33  -0.04  0.23  
1334  0.49  0.11  0.08  0.60  0.25  1.67  0.20  0.30  -0.11  0.30  
1335  0.46  0.04  -0.00  0.28  0.21  1.65  0.14  0.15  0.09  0.27  
1336  0.58  0.03  -0.15  0.60  0.26  1.55  0.18  0.24  -0.07  0.27  
1337  0.52  0.11  0.07  0.50  0.13  1.66  0.10  0.10  -0.01  0.24  
1338  0.59  0.12  0.02  0.13  0.25  1.69  0.16  0.31  0.02  0.28  
1339  0.54  0.10  0.12  0.10  0.37  1.91  0.37  0.02  -0.09  0.23  
1342  0.46  0.10  0.01  0.32  0.34  1.56  0.15  0.24  0.07  0.22  
1343  0.61  0.17  -0.05  0.44  0.20  1.69  0.08  0.27  0.09  0.07  
1344  0.79  -0.11  0.02  0.42  0.34  1.84  0.26  0.21  -0.19  0.47  
1345  0.14  0.22  0.30  1.20  0.22  0.53  0.19  0.09  0.16  0.36  
1346  0.44  0.28  -0.09  1.27  0.47  1.72  -0.03  0.49  0.02  0.13  
1347  0.56  0.11  0.15  0.81  0.32  1.76  0.04  0.15  -0.07  0.18  
1348  0.58  0.07  -0.04  0.97  0.32  1.68  0.03  0.29  -0.05  0.24  
1350  0.53  -0.02  -0.18  0.04  0.27  1.72  -0.02  0.38  -0.09  0.17  
1351  0.52  0.15  -0.04  0.31  0.29  1.67  0.13  0.23  0.06  0.09  
1352  0.58  0.24  0.13  0.79  0.27  1.83  0.11  0.22  -0.07  0.08  
1353  0.59  0.24  0.17  0.90  0.25  1.66  0.15  0.21  -0.03  0.12  
1354  0.57  0.17  0.09  0.80  0.41  1.67  0.19  0.29  -0.09  0.21  
1355  0.45  0.19  0.29  1.29  0.40  1.78  0.14  0.23  0.02  0.20  
1356  0.42  0.17  0.10  0.38  0.26  1.73  0.15  0.26  0.03  0.22  
1357  0.58  0.13  0.15  0.43  0.32  1.61  0.11  0.26  0.07  0.25  
1358  0.41  0.12  0.05  1.03  0.26  1.60  0.06  0.24  -0.05  0.26  
1359  0.49  0.14  0.07  0.33  0.32  1.64  0.07  0.34  -0.07  0.20  
1360  0.58  0.14  0.28  0.18  0.28  1.63  -0.10  0.30  -0.25  0.18  
1362  0.41  0.20  0.21  0.48  0.31  1.79  -0.15  0.05  -0.14  0.04  
1363  0.47  0.20  0.42  0.50  0.27  1.85  0.24  0.40  -0.15  0.15  
1364  0.08  -0.09  0.62  2.07  0.34  1.72  -0.16  0.42  -0.14  0.23  
1365  0.21  0.24  0.19  1.32  0.26  0.46  0.16  0.11  0.22  0.42  
1366  0.44  0.19  0.06  1.26  0.34  1.67  0.05  0.18  -0.16  -0.03  
1367  0.51  0.33  0.13  0.25  0.39  1.69  -0.09  0.43  -0.06  0.03  
1368  0.53  0.18  0.11  0.62  0.31  1.79  0.22  0.35  -0.08  0.04  
1369  0.42  0.07  0.15  0.61  0.38  1.69  -0.00  0.46  0.02  0.13  
1370  0.46  0.14  0.22  0.77  0.30  1.82  0.00  0.42  -0.27  0.14  
1371  0.38  0.13  0.11  0.53  0.41  1.63  0.02  0.37  -0.02  0.22  
1372  0.65  0.02  0.47  0.49  0.45  1.84  0.01  0.26  -0.18  0.00  
1373  0.39  0.12  -0.04  0.97  0.39  1.68  -0.02  0.51  0.05  0.07  
1374  0.44  0.20  0.33  0.37  0.34  1.81  -0.00  0.17  -0.19  0.03  
1375  0.57  0.38  0.14  1.33  0.23  1.70  -0.13  0.42  -0.29  0.10  
1376  0.57  0.29  0.14  0.90  0.41  1.75  -0.23  0.29  -0.23  -0.02  
1377  0.53  0.14  0.27  0.60  0.31  1.53  -0.08  0.21  0.09  0.14  
1378  0.61  0.05  0.09  0.42  0.35  1.81  -0.03  0.30  0.04  0.05  
1379  0.32  0.13  0.28  0.88  0.31  1.80  -0.13  0.39  -0.27  -0.06  
1380  0.18  0.25  0.21  0.56  -0.07  2.25  -0.17  0.79  -0.25  -0.23  
1381  0.59  0.23  0.16  1.17  0.42  1.73  0.05  0.24  -0.10  0.01  
1382  0.51  0.05  -0.01  0.49  0.37  1.85  0.18  0.52  -0.06  0.17  
1383  0.56  0.18  -0.01  1.06  0.22  1.95  -0.00  0.59  0.03  0.07  
1384  0.03  0.14  0.46  -0.11  0.18  1.74  -0.08  0.15  0.18  0.05  
1386  0.51  0.06  0.12  0.74  0.26  1.77  -0.06  0.38  -0.07  0.06  
1387  0.53  0.21  0.28  1.13  0.34  1.67  0.01  0.31  -0.22  -0.01  
1388  0.40  0.09  -0.03  2.12  0.41  2.11  0.03  0.21  0.06  0.12  
1389  0.55  0.19  0.09  0.86  0.28  1.70  -0.08  0.31  0.04  0.07  
1390  0.45  0.37  0.07  1.60  0.19  1.80  0.06  0.54  -0.17  0.16  
1392  0.65  0.24  0.19  -0.26  0.27  1.83  -0.14  0.40  -0.21  -0.06  
1394  0.62  0.07  0.14  0.42  0.40  1.74  0.01  0.53  0.01  0.01  
1396  0.27  0.26  0.25  1.39  0.14  0.50  0.12  0.18  0.22  0.34  
1397  0.50  0.24  0.03  0.70  0.18  1.78  -0.09  0.25  -0.07  -0.02  
1398  0.39  0.24  0.21  1.50  0.40  1.83  0.06  0.63  0.11  -0.02  
1399  0.48  0.48  0.10  0.97  0.21  1.82  -0.42  0.48  -0.34  -0.13  
1402  0.57  0.45  -0.11  1.39  0.48  1.78  0.11  0.50  -0.17  -0.07  
1403  0.44  0.23  0.40  -0.41  0.27  1.79  -0.13  0.44  -0.28  0.19  
1404  0.47  0.17  0.17  0.05  0.30  1.66  -0.18  0.36  -0.21  -0.08  
1405  0.45  0.16  0.33  -0.19  0.46  1.71  -0.00  0.24  -0.09  0.04  
1406  0.36  0.28  0.13  0.85  0.46  1.78  -0.13  0.31  -0.34  0.08  
1407  0.57  0.26  0.24  0.72  0.36  1.64  0.29  0.29  -0.18  -0.05  
1408  0.41  0.21  0.12  1.71  0.44  1.76  -0.14  0.52  -0.10  -0.06  
1409  0.39  0.18  0.14  2.16  0.47  1.75  -0.02  0.52  -0.33  -0.23  
1410  0.25  0.24  0.45  1.65  0.50  1.48  0.04  0.35  -0.01  0.02  
1411  0.65  0.27  0.13  0.47  0.35  1.71  -0.26  0.32  -0.05  0.01  
1412  0.65  0.21  0.48  0.76  0.46  1.67  -0.14  0.74  -0.26  -0.04  
1413  0.35  0.31  -0.08  0.77  0.34  1.61  -0.18  0.50  -0.34  0.14  
1414  0.40  0.29  0.43  -0.58  0.40  1.55  -0.18  0.39  -0.08  0.04  
1415  0.02  0.12  0.21  -0.68  0.85  1.61  -0.60  0.72  -0.34  -0.07  
1416  0.63  0.32  -0.01  0.65  0.39  1.77  -0.11  0.40  -0.04  0.15  
1420  0.71  0.38  0.20  0.67  0.44  1.95  0.00  0.25  -0.10  -0.37  
1422  0.50  0.28  0.14  -0.29  0.39  1.83  -0.12  0.36  -0.07  0.11  
1423  0.52  0.63  0.75  0.07  -0.20  2.05  -0.26  0.33  -0.51  -0.32  
1425  0.31  0.25  0.45  0.58  0.60  1.91  0.03  0.52  -0.14  0.13  
1426  0.34  0.35  0.59  2.48  0.54  1.42  -0.16  0.39  -0.15  -0.07  
1427  0.55  0.16  0.25  0.06  0.31  1.44  0.02  0.73  -0.20  -0.10  
1428  0.53  0.14  0.34  0.11  0.45  1.72  -0.07  0.35  -0.00  -0.14  
1429  0.57  0.74  0.53  0.36  0.30  1.22  -0.37  0.50  0.31  -0.51  
1430  0.24  0.12  0.51  -0.39  0.47  1.46  -0.23  0.26  -0.11  0.08  
1431  0.43  0.11  0.34  0.53  0.39  1.53  -0.03  0.30  -0.18  0.09  
1432  0.71  0.44  0.50  -0.35  0.32  1.55  -0.22  0.39  -0.16  -0.36  
1433  0.41  0.33  0.23  1.27  0.29  1.53  -0.16  0.17  -0.15  -0.11  
1434  0.70  0.30  0.50  -0.58  0.50  1.73  -0.08  0.44  -0.00  0.08  
1435  0.56  0.26  0.34  0.10  0.31  1.73  -0.05  0.27  -0.08  0.18  
1436  0.48  0.31  0.20  -0.12  0.38  1.73  -0.08  0.55  -0.05  0.19  
1437  0.50  0.09  0.49  0.96  0.45  1.59  0.12  0.15  -0.08  -0.14  
1438  0.53  0.38  0.21  0.60  0.46  1.84  -0.12  0.37  0.03  0.04  
1439  0.59  0.33  0.46  0.26  0.43  1.80  -0.10  0.09  -0.11  -0.07  
1440  0.44  0.15  0.28  -0.05  0.42  1.55  -0.01  0.33  -0.13  0.05  
1441  0.63  0.21  0.68  0.46  0.46  1.72  -0.26  0.35  -0.23  -0.07  
1450  0.46  0.45  0.40  1.82  0.45  2.00  -0.19  0.20  -0.13  0.27  
1451  0.44  0.36  0.44  0.20  0.32  1.67  -0.16  0.32  -0.60  0.14  
1452  0.35  0.54  0.40  -0.50  0.17  1.50  -0.06  0.03  0.04  0.04  
1453  0.45  0.35  0.63  1.57  0.27  1.73  -0.24  0.28  -0.37  -0.07  
1454  0.51  0.26  0.20  0.86  0.31  1.64  -0.27  0.24  -0.20  -0.15  
1455  0.40  0.17  0.58  3.39  0.43  1.87  -0.19  0.42  -0.19  -0.18  
1456  0.37  0.17  0.15  1.32  0.37  1.58  0.00  0.26  -0.31  -0.09  
1457  0.35  0.04  -0.10  -0.09  0.45  1.80  -0.08  0.53  0.06  0.02  
1458  0.43  0.35  0.20  0.36  0.47  1.90  0.08  0.44  -0.19  0.16  
1459  0.57  0.04  0.34  0.52  0.41  1.89  0.12  0.31  -0.16  -0.01  
1460  0.32  0.24  0.36  0.22  0.36  1.77  -0.18  0.27  -0.26  0.08  
1461  0.36  0.04  0.23  0.38  0.46  1.74  0.04  0.20  -0.03  -0.09  
1462  0.44  0.34  0.12  2.00  0.48  1.75  -0.34  0.57  -0.03  -0.02  
1463  0.52  0.20  0.48  1.39  0.45  1.76  -0.06  0.47  -0.48  -0.24  
1464  0.08  0.59  0.61  0.37  0.21  1.69  0.32  -0.09  -0.58  -0.03  
1465  0.54  0.24  0.33  0.69  0.39  1.63  -0.01  0.29  -0.07  -0.01  
1466  0.41  0.42  0.11  1.45  0.58  1.60  0.14  0.27  0.02  -0.20  
1468  0.33  0.18  0.55  0.15  0.54  1.39  0.03  0.56  -0.34  -0.11  
1469  0.30  0.34  0.31  1.33  0.51  1.49  0.08  0.21  -0.31  -0.16  
1470  0.40  0.21  0.38  0.09  0.46  1.61  0.00  0.47  -0.15  0.16  
1472  0.48  0.38  0.51  1.22  0.48  1.61  -0.04  0.29  -0.33  0.02  
1474  0.18  0.25  0.17  1.59  0.21  0.58  0.12  0.25  0.18  0.39  
1475  0.37  0.55  0.41  0.02  0.35  1.39  0.07  0.31  -0.08  -0.02  
1476  0.53  0.55  0.43  -0.11  0.46  1.64  0.14  0.40  -0.05  -0.04  
1477  0.23  0.23  0.32  0.68  0.71  1.93  -0.45  0.26  -0.04  0.10  
1478  0.08  0.06  0.23  1.04  0.57  1.62  -0.12  0.69  -0.09  -0.07  
1479  0.20  0.56  0.69  -0.97  0.73  1.81  -0.05  0.34  -0.31  -0.42  
1482  0.48  0.38  0.54  0.92  0.40  1.61  -0.25  0.31  -0.36  -0.25  
1483  0.60  0.54  -0.19  0.27  0.59  1.81  -0.20  0.41  -0.62  -0.55  
1484  0.62  0.34  0.42  0.52  0.30  1.82  -0.01  0.03  -0.15  0.02  
1485  0.10  0.41  0.42  -0.01  0.30  1.75  -0.29  0.49  -0.35  -0.21  
1486  0.45  0.17  0.43  1.68  0.47  1.56  -0.16  -0.04  -0.16  0.06  
1487  0.47  0.27  0.43  -0.50  0.59  1.61  -0.41  0.19  -0.01  -0.14  
1488  0.24  0.30  0.08  1.54  0.65  1.86  -0.31  0.34  -0.22  -0.06  
1489  0.36  0.19  0.34  -0.72  0.69  1.56  -0.08  0.61  -0.12  0.05  
1490  0.85  0.30  0.45  0.26  0.41  1.61  -0.08  0.66  -0.19  -0.01  
1491  0.54  0.57  0.16  2.08  0.21  1.54  -0.50  0.55  -0.24  -0.14  
1492  0.51  0.48  0.18  0.25  0.53  1.69  -0.27  0.60  -0.09  0.01  
1493  0.44  0.31  0.21  -0.71  0.43  1.70  -0.22  0.33  -0.08  -0.12  
1494  0.54  0.34  0.65  -0.04  0.54  1.73  0.31  0.65  -0.54  -0.13  
1495  0.39  0.38  0.17  -0.88  0.49  1.77  0.03  0.30  -0.36  -0.19  
1496  0.62  0.44  0.25  -0.62  0.35  1.55  -0.11  0.46  -0.32  -0.07  
1501  0.52  0.38  -0.21  -0.75  0.50  1.86  -0.22  0.60  -0.41  -0.28  
1502  0.60  0.20  0.04  -1.17  0.48  1.54  -0.27  0.15  -0.42  -0.15  
1503  0.30  0.30  0.19  -0.53  0.34  1.73  -0.38  0.50  -0.23  -0.18  
1504  0.46  0.61  -0.00  -0.03  0.88  1.68  -0.43  0.61  -0.19  -0.14  
1505  0.50  0.43  0.10  0.66  0.56  1.63  -0.17  0.41  -0.25  -0.08  
1506  0.48  0.62  -0.10  -0.44  0.49  1.82  -0.23  0.19  -0.17  -0.15  
1510  0.66  0.30  0.83  11.36  0.58  1.78  -0.48  0.76  -0.49  -0.38  
1513  0.81  0.46  0.66  -1.80  0.68  2.17  -0.40  0.92  -0.41  -0.36  
1515  0.56  0.26  0.49  -1.96  0.32  1.70  -0.55  0.93  -0.17  -0.30  
1516  0.55  0.49  0.56  3.42  0.17  2.10  -0.43  0.83  -0.57  -0.80  
1518  0.65  0.83  1.41  9.97  1.00  1.73  -0.24  0.83  -0.61  0.01  
1520  0.71  0.35  0.18  5.06  0.57  1.55  0.16  0.22  -0.23  -0.10  
1521  0.65  0.33  0.35  -1.88  0.80  1.59  -0.40  0.55  0.11  -0.19  
1524  0.22  0.34  0.25  0.36  0.28  0.41  0.11  0.07  0.25  0.37  
1525  0.72  0.62  0.68  -1.42  0.38  1.70  0.02  0.42  -0.18  -0.38  
1526  0.23  0.49  0.44  6.48  0.47  1.73  0.03  1.05  -0.17  -0.14  
1528  0.28  0.68  0.54  8.16  0.19  1.58  -0.23  0.59  -0.24  -0.30  
1529  0.07  0.36  0.17  3.59  0.70  1.48  -0.24  0.59  -0.44  -0.06  
1530  0.55  0.36  0.96  8.08  0.41  1.26  -0.40  0.60  -0.07  -0.55  
1531  0.70  0.24  0.14  -1.63  0.82  1.57  -0.09  0.95  -0.24  -0.53  
1532  0.43  0.31  0.70  0.68  0.51  1.56  -0.25  0.51  -0.42  -0.30  
1533  0.36  0.23  0.52  -0.43  0.47  1.70  -0.23  0.84  0.08  -0.22  
1540  0.47  0.49  0.76  12.88  0.51  1.66  -0.15  0.73  -0.19  -0.05  
1541  0.69  0.45  0.29  1.53  0.55  1.74  0.10  0.60  -0.30  -0.12  
1542  0.72  0.60  0.94  3.93  0.51  1.89  -0.13  1.04  -0.11  -0.23  
1543  0.43  0.24  0.35  2.17  0.43  1.63  -0.12  0.91  -0.13  0.06  
1545  0.24  0.43  0.13  -0.06  0.68  1.44  0.01  0.46  -0.03  -0.20  
1546  0.57  0.30  0.40  4.19  0.62  1.53  -0.11  0.67  -0.02  -0.19  
1547  0.41  0.27  0.08  6.62  0.32  1.33  -0.27  0.78  -0.17  -0.03  
1548  0.40  0.53  0.25  2.13  0.57  1.65  -0.02  1.12  -0.17  -0.07  
1549  0.65  0.65  0.45  -1.72  0.28  1.66  -0.18  0.71  -0.14  0.09  
1550  0.63  0.22  0.49  1.12  0.68  1.64  -0.37  0.82  -0.03  -0.09  
1551  0.52  0.51  0.85  1.86  0.38  1.82  -0.17  1.19  -0.47  -0.64  
1553  0.46  0.25  -0.08  -1.43  0.57  1.73  -0.08  0.33  -0.03  -0.04  
1557  0.67  0.21  -0.06  -1.35  0.58  1.66  0.19  0.72  -0.24  0.16  
1558  0.42  0.30  0.01  4.11  0.66  1.79  -0.22  0.28  -0.10  -0.07  
1559  0.73  0.50  0.67  -0.97  0.59  1.51  0.07  0.37  -0.06  -0.13  
1560  0.83  0.48  0.40  -1.61  0.67  1.74  -0.07  0.80  -0.52  -0.05  
1561  0.31  0.16  0.18  -0.08  0.53  1.69  -0.06  0.29  0.10  0.36  
1562  0.31  0.44  0.35  -1.30  0.48  1.46  0.04  0.81  -0.47  0.01  
1563  0.38  0.22  0.15  -1.34  0.53  1.63  -0.22  0.48  -0.36  0.20  
1564  0.35  0.58  0.01  -1.85  0.37  1.43  -0.17  0.88  -0.22  -0.09  
1565  0.53  0.34  -0.03  -0.13  0.58  1.61  -0.21  0.76  -0.15  0.03  
1566  0.37  0.26  -0.38  0.90  0.58  1.60  -0.27  0.59  0.05  0.30  
1567  0.61  0.24  0.37  5.64  0.36  1.60  -0.29  0.36  -0.45  -0.14  
1568  0.43  0.26  0.30  -1.77  0.71  1.45  -0.22  0.26  0.07  -0.04  
1569  0.49  0.08  0.10  0.54  0.86  1.58  -0.04  0.40  -0.13  -0.07  
1571  0.41  0.36  0.00  3.34  0.47  1.76  -0.28  0.60  -0.12  -0.24  
1572  0.15  0.21  0.31  2.50  0.44  1.69  -0.17  0.63  -0.31  -0.09  
1576  0.89  0.94  0.54  0.80  0.25  1.53  0.27  0.65  -0.12  0.31  
1577  0.76  0.30  0.48  -1.36  0.20  1.53  0.30  0.32  -0.27  0.04  
1578  0.52  0.26  0.27  1.79  0.42  1.67  -0.10  0.49  -0.10  -0.11  
1579  0.48  0.50  0.76  7.13  0.56  1.81  -0.38  0.76  -0.38  -0.07  
1580  0.52  0.40  0.21  -0.32  0.35  1.75  -0.26  0.43  -0.47  -0.07  
1581  0.47  0.33  0.16  2.43  0.50  1.45  -0.24  0.62  -0.09  -0.25  
1582  0.52  0.54  0.55  4.96  0.63  1.72  0.22  0.74  -0.35  -0.25  
1583  0.42  0.49  0.15  -1.27  0.39  1.71  -0.45  0.56  -0.26  -0.06  
1584  0.41  0.38  -0.03  -1.50  0.69  1.74  -0.23  0.67  -0.19  -0.08  
1585  0.26  0.44  0.23  0.94  0.59  1.80  -0.07  0.48  -0.01  0.13  
1586  0.45  0.32  0.28  4.61  0.31  1.70  -0.02  0.49  -0.11  -0.11  
1587  0.36  0.41  0.29  12.97  0.59  1.61  -0.08  0.50  -0.26  -0.04  
1588  0.56  0.29  -0.01  1.66  0.61  1.44  0.02  0.64  -0.08  0.27  
1589  0.51  0.33  -0.04  0.09  0.59  1.58  -0.12  0.44  -0.28  -0.21  
1590  0.50  0.24  0.28  2.40  0.57  1.36  -0.30  0.62  -0.12  -0.05  
1591  0.55  0.16  0.34  -0.93  0.62  1.68  -0.06  0.78  -0.30  -0.12  
1592  0.39  0.21  0.43  3.78  0.43  1.82  -0.19  0.58  -0.23  -0.03  
1593  0.64  0.07  0.16  5.39  0.50  1.47  -0.02  0.73  -0.11  -0.06  
1594  0.53  0.22  0.71  -1.25  0.50  1.68  -0.14  0.74  -0.30  0.12  
1595  0.69  0.48  0.16  -0.95  0.56  1.63  -0.18  0.61  -0.21  -0.05  
1596  0.40  0.36  0.24  -2.21  0.72  1.47  -0.21  0.38  -0.12  0.03  
1597  0.66  0.23  0.25  6.68  0.39  1.71  -0.29  0.52  -0.10  0.09  
1598  0.31  0.44  -0.07  7.08  0.55  1.44  0.02  0.40  -0.16  -0.17  
1599  0.47  0.52  0.39  -1.79  0.53  1.55  -0.28  0.57  -0.15  -0.08  
1600  0.58  0.47  0.17  7.44  0.27  2.13  -0.50  0.86  0.05  0.08  
1601  0.32  0.40  0.97  3.02  0.19  1.75  0.08  0.96  -0.74  -0.25  
1604  0.47  0.23  -0.09  -1.46  0.54  1.67  -0.40  0.47  -0.20  -0.24  
1605  0.70  0.36  0.39  2.11  0.69  1.71  0.04  0.90  -0.39  0.04  
